Beta_value,Start,End,Position_to_TSS
0.963587448059344,1046326,1046327,793
0.903665834087799,2086399,2086400,38196
0.903381465063414,31969617,31969618,-1475
0.980669590928888,5455471,5455472,39
0.889717438372741,112843636,112843637,1326
0.866506061647508,139677209,139677210,1734
0.963717377466582,50152129,50152130,1525
0.894785177894891,79861748,79861749,582334
0.920124517835922,103127570,103127571,3
0.843910349994673,127060470,127060471,46819
0.955891366403917,5789688,5789689,578
0.934949677533935,1468886,1468887,55077
0.869883160844523,49638533,49638534,219387
0.923526976136949,3373040,3373041,30624
0.947450805008945,68446831,68446832,134146
0.860242590300349,184324264,184324265,9657
0.97082717703684,41844525,41844526,-566
0.909093144435563,31095464,31095465,-523
0.849812092528838,27129343,27129344,23219
0.992098381255889,82081368,82081369,3
0.905425514455132,81843631,81843632,3697
0.879986469239286,45913817,45913818,65653
0.895899928665176,183637503,183637504,1859
0.882121003135051,84651203,84651204,2590
0.820312361067328,13468336,13468337,12641
0.931331108150125,35278641,35278642,1663
0.815770214598715,48528940,48528941,-986
0.830122331013458,79475509,79475510,75116
0.91658215010142,63466328,63466329,6178
0.985333127575703,498943,498944,8279
0.871106835524473,140349575,140349576,109005
0.930028500437835,29727636,29727637,-496
0.911318649901749,32761404,32761405,2129
0.872038977966508,1870702,1870703,457
0.878818145171613,62801955,62801956,3538
0.946105352013844,63437329,63437330,8856
0.989545645478353,47180543,47180544,5894
0.95373665480427,79047733,79047734,4139
0.926481135084049,48529741,48529742,1170
0.855122076672423,7367707,7367708,41039
0.917987114748389,99390887,99390888,5186
0.945262845913221,605764,605765,121887
0.88324175802797,82362683,82362684,-949
0.820571723407212,68931029,68931030,503
0.98472501271349,89831880,89831881,3332
0.849261217186159,127392746,127392747,37389
0.809451027829763,57614200,57614201,-374
0.980537096897695,7579894,7579895,60886
0.948370943468729,1096322,1096323,41939
0.919545737592292,19381314,19381315,2784
0.946009701311389,75891290,75891291,5714
0.914254731920723,899229,899230,71771
0.900326647571589,78209683,78209684,20870
0.937542559963234,82903723,82903724,45203
0.972655945047212,136762627,136762628,1887
0.801679821958526,79047089,79047090,22827
0.823504942351616,154889803,154889804,584360
0.922431473796283,4332059,4332060,6751
0.803330234127018,210682566,210682567,451408
0.945113174645136,740947,740948,14245
0.927510840310053,501569,501570,5653
0.938947613453526,45655082,45655083,3307
0.874936364946919,32162981,32162982,9403
0.867897278235664,71857444,71857445,11395
0.824732330770668,50293571,50293572,5898
0.963167581898016,1623556,1623557,8101
0.979941739797989,2345126,2345127,46562
0.874245256511719,24017541,24017542,3120
0.959658084019598,230869233,230869234,4593
0.923732641002687,183064489,183064490,34755
0.940475348138694,158088738,158088739,11057
0.935790324114845,2146494,2146495,83925
0.982187586974673,132730186,132730187,31703
0.828729933899906,1937086,1937087,17523
0.876726369673517,40178257,40178258,-927
0.983882728908853,1434812,1434813,9745
0.84258454967998,131796070,131796071,98
0.858220175608821,128066930,128066931,-1272
0.85547696454275,38074476,38074477,17220
0.839343887052285,39204583,39204584,4266
0.881350251485096,1767747,1767748,588
0.906130415440002,67403139,67403140,-1051
0.915439778489169,105462053,105462054,1171
0.824663545543052,23565870,23565871,1910
0.908883058763413,81039911,81039912,4762
0.891395230119599,151280243,151280244,-1376
0.904360753221011,79131405,79131406,351194
0.899997569888229,90991072,90991073,3424
0.850092053273296,68270938,68270939,1025
0.847047696171823,728183,728184,3075
0.839387859712234,112379494,112379495,82111
0.876433054143787,2661020,2661021,4927
0.849507745315843,492294,492295,362
0.949301976735444,66566380,66566381,13816
0.81054426356536,667556,667557,-623
0.978391615902875,1337211,1337212,47359
0.88685836648192,126337228,126337229,10365
0.902814450355668,52453717,52453718,-1402
0.938959870281854,52689088,52689089,162
0.935881407394178,44152810,44152811,13097
0.836791335411139,55284299,55284300,1948
0.843069611565375,179121699,179121700,1141
0.848821978044713,460469,460470,10188
0.839130313807085,1470480,1470481,22333
0.808118549024942,143403226,143403227,31477
0.978559858173811,1842499,1842500,390447
0.945624115543675,1856748,1856749,16009
0.909745039158566,160350542,160350543,2273
0.895312290575503,74293022,74293023,3741
0.854152495908542,45946208,45946209,11579
0.94332981344597,69086728,69086729,31565
0.803660174231266,30492799,30492800,3331
0.885489778991858,92104017,92104018,2558
0.846213341657398,100553629,100553630,5326
0.850801241465119,4358878,4358879,15272
0.94497926150062,4609348,4609349,5579
0.857831892824724,46261933,46261934,1423
0.905983890900697,56310405,56310406,4109
0.898767774519899,104172959,104172960,34235
0.913850971227793,1467783,1467784,-457
0.914879865895409,154517279,154517280,-1113
0.811869248931326,7986456,7986457,77909
0.875929288421496,8371113,8371114,57374
0.886404028274782,156335865,156335866,2447
0.95434461328724,632471,632472,80737
0.882154880346419,46702994,46702995,278
0.84708862164044,3519033,3519034,13390
0.888454347960564,738935,738936,2063
0.929422497578881,4024420,4024421,3152
0.807348141162302,27377021,27377022,6392
0.847420312051307,58853382,58853383,11763
0.935546325257669,18091094,18091095,3152
0.981013044171153,1295686,1295687,13937
0.881643959656853,40617140,40617141,4004
0.920249608013694,7223983,7223984,57
0.930200604561693,44915556,44915557,-52
0.858234215467617,43304834,43304835,6569
0.978818950677344,1297647,1297648,12008
0.913134937193491,132730136,132730137,8772
0.84189527816053,184386693,184386694,6619
0.809845246432717,59190434,59190435,-587
0.956740792216817,8730842,8730843,79906
0.886567806914379,105442866,105442867,22927
0.899555901716333,10324830,10324831,113213
0.93964833898357,46024210,46024211,6406
0.97757608115323,129868117,129868118,32670
0.927191372234822,3153871,3153872,3656
0.811355508988504,143692138,143692139,7664
0.982610394685424,1296498,1296499,11521
0.973079915003032,73327884,73327885,-370
0.819523021771845,101064316,101064317,-1283
0.902745033974845,112756796,112756797,66466
0.855425786665555,57664613,57664614,45290
0.822235054817877,49182859,49182860,25043
0.837494065079331,50908481,50908482,848
0.939920929537708,3734850,3734851,2150
0.883759087329944,3471942,3471943,-144
0.831335565029099,130490899,130490900,4544
0.876224785124255,32168275,32168276,7848
0.980987604986202,2395519,2395520,18224
0.973858849586137,239108213,239108214,190318
0.819946808220518,195657264,195657265,-830
0.868623888029508,157155955,157155956,4182
0.893955072001979,46616167,46616168,-1379
0.872368953495607,3142259,3142260,7120
0.807209182859114,1238212,1238213,11720
0.884138359126569,103135286,103135287,7709
0.952401395838325,6746527,6746528,6812
0.92804189790685,158269128,158269129,318646
0.96342294664226,1937475,1937476,393720
0.913334821878838,10873220,10873221,1309
0.918072257011262,44851105,44851106,22733
