Beta_value,Start,End,Position_to_TSS
0.9372574385511,24895268,24895269,27543
0.872544505547335,113092164,113092165,2527
0.906009652977058,69963601,69963602,122692
0.875604292385963,252646,252647,100197
0.876914536799158,12511317,12511318,2517
0.985741120978084,1756093,1756094,1176
0.88101750176523,133527521,133527522,85
0.926282129864908,120107592,120107593,9248
0.853486788087221,40789260,40789261,30079
0.821693355085499,83861743,83861744,-772
0.809389716373389,203237695,203237696,-1288
0.83768177940484,152366822,152366823,-350
0.897033935277994,1778145,1778146,4818
0.903911609155783,89878932,89878933,5287
0.981732070365359,12792408,12792409,1916
0.817000182778289,19905143,19905144,11224
0.921892871575536,124324551,124324552,98004
0.87198396095587,137921884,137921885,43949
0.89138780144615,22833423,22833424,3527
0.957100781149955,62006603,62006604,959
0.964036239749785,291277,291278,61383
0.802291217948926,3659741,3659742,40650
0.922483421588949,823139,823140,6272
0.835132817190088,31095464,31095465,-506
0.988739310811955,10991300,10991301,30298
0.920923882549865,82715308,82715309,948
0.929089583064369,53041818,53041819,57636
0.99038021967372,849927,849928,-1241
0.880869532900825,96861068,96861069,2261
0.923860423073292,91916679,91916680,62342
0.832181572116466,32858120,32858121,13983
0.91891564329943,13282424,13282425,4784
0.866666869926094,2810305,2810306,14297
0.921859469313506,132842630,132842631,40388
0.845799810604365,46621858,46621859,4308
0.897852048866216,54381405,54381406,4364
0.864959199618435,88902816,88902817,-300
0.987686879139912,143927633,143927634,14892
0.957435545267509,143286488,143286489,893
0.830036398164266,103698846,103698847,69604
0.846922100190309,104987293,104987294,1503
0.856153182060213,44220314,44220315,10034
0.962559405263163,6246338,6246339,-1054
0.900752824649637,32538374,32538375,-1054
0.868089574672849,145053409,145053410,1030
0.926508066563593,37520611,37520612,7321
0.971179568101461,54155411,54155412,4472
0.929760006886713,1285529,1285530,24055
0.852680997850305,48787771,48787772,-1377
0.978488796716203,9162839,9162840,-97
0.929090617219709,15520789,15520790,271933
0.81520545463903,44240081,44240082,85351
0.971368684819604,179025195,179025196,-610
0.916629662522202,100620994,100620995,12657
0.864689359872536,125025392,125025393,31691
0.849365665143648,7231432,7231433,123623
0.918088509402491,73952086,73952087,1833
0.828984948272742,105154021,105154022,27174
0.92080272352625,5525561,5525562,681
0.950106198340561,61755303,61755304,2660
0.985584837580082,49594490,49594491,2846
0.955452665793639,66691529,66691530,29871
0.876342741925736,2289404,2289405,51343
0.97665419618383,2810503,2810504,14495
